"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"9617","C12orf66",2909,-0.246493,0.805300622502471,0.899233901879423,"FALSE"
"9618","NMBR",7386,-0.24661,0.805210064662655,0.899215012987695,"FALSE"
"9619","NCDN",8098,-0.246691,0.805147372304094,0.899208779750883,"FALSE"
"9620","ZNF850",13012,-0.247225,0.804734098495424,0.898874743247053,"FALSE"
"9621","TEX47",6042,-0.247452,0.804558434949245,0.89884409342362,"FALSE"
"9622","ZFAND4",4110,-0.247462,0.804550696693882,0.89884409342362,"FALSE"
"9623","CLIP4",7560,-0.247642,0.804411411372565,0.89884409342362,"FALSE"
"9624","FLJ42393",7698,-0.248318,0.803888373086902,0.898594352937483,"FALSE"
"9625","OPRD1",14654,-0.24925,0.803167405133577,0.897952907322883,"FALSE"
"9626","BCCIP",5150,-0.249809,0.802735059380439,0.897597010861801,"FALSE"
"9627","RBM26-AS1",9007,-0.250033,0.802561828643718,0.897467044886033,"FALSE"
"9628","ALDH18A1",7557,-0.250732,0.802021318355054,0.897053751331984,"FALSE"
"9629","ZNF573",14670,-0.250949,0.801853539710138,0.896929808378525,"FALSE"
"9630","TOE1",504,-0.251006,0.801809470336656,0.896929808378525,"FALSE"
"9631","NUDT19",217,-0.251264,0.801610006323363,0.89688428213988,"FALSE"
"9632","ING5",6733,-0.251441,0.801473172210234,0.896822905013868,"FALSE"
"9633","TMEM151B",2792,-0.251704,0.801269864973678,0.896659134613402,"FALSE"
"9634","TULP3",14527,-0.251782,0.801209571117872,0.896655391090404,"FALSE"
"9635","EP300",13569,-0.252397,0.80073421875652,0.89637826337159,"FALSE"
"9636","RNF187",9757,-0.252765,0.800449815542346,0.896212416329885,"FALSE"
"9637","CCDC173",12881,-0.25304,0.800237303234743,0.896123558426066,"FALSE"
"9638","RFWD3",10324,-0.253322,0.800019396879845,0.896024000844584,"FALSE"
"9639","TMEM178B",1735,-0.253418,0.799945219543753,0.896004658299523,"FALSE"
"9640","CYP2B6",10820,-0.253422,0.799942128860573,0.896004658299523,"FALSE"
