"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez","FoldChange"
"ENSG00000234232",2951.1992942671,1.2507196965904,0.444128181374711,2.8161232478404,0.00486070158701082,0.59025435454941,"UP","AC243772.3",NA,2.37960101140354
"ENSG00000183569",98849.1106350147,-0.586799296139591,0.208373272008893,-2.81609675983083,0.00486110236928038,0.59025435454941,"DOWN","SERHL2",253190,-1.50191097058499
"ENSG00000198355",250802.86388579,-0.446465924600831,0.158647328927611,-2.81420385466778,0.00488982088627666,0.59025435454941,"DOWN","PIM3",415116,-1.36269805281145
"ENSG00000221916",14051.9103194088,-0.464880978089388,0.165201130022384,-2.81403025527973,0.00489246234558752,0.59025435454941,"DOWN","C19orf73",55150,-1.38020348232386
"ENSG00000163710",8409.53605326761,-0.778988890408173,0.276946518413004,-2.81277733647651,0.00491156485656557,0.59025435454941,"DOWN","PCOLCE2",26577,-1.71592784716298
"ENSG00000100764",162797.0091379,-0.261026358250348,0.092858715167601,-2.81100549129094,0.00493869430102224,0.59025435454941,"DOWN","PSMC1",5700,-1.19833091482128
"ENSG00000271503",3145.66455438546,-0.975377227504335,0.347039611635765,-2.81056454307021,0.00494546686642547,0.59025435454941,"DOWN","CCL5",6352,-1.96615522871284
"ENSG00000180817",780742.120699393,-0.347113540477275,0.12354996234267,-2.80949936281278,0.00496186173681411,0.59025435454941,"DOWN","PPA1",5464,-1.27201311056911
"ENSG00000272644",3189.41117987073,-0.750925582449334,0.267281196318359,-2.80949648831602,0.00496190604645361,0.59025435454941,"DOWN","None",NA,-1.68287215588951
"ENSG00000101182",459555.734815854,-0.27174434003841,0.0967247617843686,-2.80945990484027,0.00496247000272447,0.59025435454941,"DOWN","PSMA7",5688,-1.20726663283151
"ENSG00000225531",6056.34360844652,-0.621310845740231,0.221523337190754,-2.80471960028852,0.00503603691132477,0.590879965323501,"DOWN","AL807761.2",NA,-1.53827223454565
"ENSG00000225778",6093.10642789722,0.713925338051418,0.254549468803553,2.80466245483461,0.00503692976069443,0.590879965323501,"UP","PROSER2-AS1",219731,1.64026093387372
"ENSG00000216471",988.474291354042,-1.30638698710057,0.466258900647023,-2.8018488983003,0.00508106658039578,0.590879965323501,"DOWN","RPSAP43",NA,-2.47321384532567
"ENSG00000226047",5181.02728471435,-0.63612870399273,0.227040589641872,-2.80182810041211,0.00508139413864212,0.590879965323501,"DOWN","AL807761.3",NA,-1.55415317864731
"ENSG00000276692",5323.26399735833,0.813449523155053,0.290407830481626,2.8010591925362,0.00509351752966575,0.590879965323501,"UP","None",NA,1.75740843452649
"ENSG00000267105",43128.0717626208,-0.388390939229769,0.138702928157168,-2.80016395032174,0.00510766577485087,0.590879965323501,"DOWN","AC011511.3",NA,-1.30893271592798
"ENSG00000172728",27656.1564192413,0.554131664617043,0.198245683251369,2.79517644737021,0.00518713955084023,0.592993385596352,"UP","FUT10",84750,1.4682846299183
"ENSG00000011376",182166.969275902,0.307932335768866,0.110177334281378,2.79487916255486,0.00519191175893487,0.592993385596352,"UP","LARS2",23395,1.23793222888088
"ENSG00000225684",15569.9255026553,0.950831939197623,0.340497982816845,2.79247451433238,0.00523065878672137,0.592993385596352,"UP","FAM225B",100128385,1.93298700567344
"ENSG00000146192",46623.6018183368,0.865219513058787,0.309961016438686,2.79138171309338,0.00524835370175347,0.592993385596352,"UP","FGD2",221472,1.82161681394609
"ENSG00000182107",11762.7161179291,-1.72330192223685,0.617562191430975,-2.79049129974056,0.00526281146293701,0.592993385596352,"DOWN","TMEM30B",161291,-3.30191257461212
"ENSG00000158714",59025.0049443167,0.35896838495401,0.128649942411134,2.79027241074726,0.00526637109765854,0.592993385596352,"UP","SLAMF8",56833,1.282508497717
"ENSG00000180447",50493.9288978597,-0.935275131024634,0.335803141334332,-2.78518874870637,0.00534965724204386,0.599321502505773,"DOWN","GAS1",2619,-1.91225527953395
"ENSG00000127863",20987.6233975258,-0.560737415561761,0.201524292745658,-2.78248050357612,0.00539451063549969,0.599321502505773,"DOWN","TNFRSF19",55504,-1.47502296421676
"ENSG00000249858",1263.99391139459,0.767813621825843,0.276080864240644,2.781118582549,0.00541719455590377,0.599321502505773,"UP","SNX5P1",NA,1.70268743534569
"ENSG00000168397",640358.950233452,-0.328395801266271,0.118201298128489,-2.77827575894551,0.00546482184016396,0.601962005741538,"DOWN","ATG4B",23192,-1.25561642055511
"ENSG00000228692",1674.32326033255,-1.48880061149093,0.536823816054001,-2.77335052389175,0.00554823227384443,0.607289584121969,"DOWN","AL445307.1",NA,-2.80655554362837
"ENSG00000144648",6374.57754217917,0.599441848211927,0.21620357283498,2.77258067640472,0.00556137320834347,0.607289584121969,"UP","ACKR2",1238,1.51513027747623
