"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez","FoldChange"
"ENSG00000254978",2786.58575812018,0.818550715636095,0.196475234918283,4.16617756419298,3.09749474625013e-05,0.0392375146981235,"UP","ALG1L9P",NA,1.76363341381164
"ENSG00000232995",7242.72136248127,0.652755660153966,0.159956888542534,4.08082243973127,4.48766280165584e-05,0.049432581339109,"UP","RGS5",8490,1.57216829384524
"ENSG00000184923",21109.9367094258,0.772880183980238,0.191055495757529,4.04531772779313,5.22522075670746e-05,0.0550419219840944,"UP","NUTM2A",728118,1.7086775699816
"ENSG00000143552",2815.93252664732,-1.10279544687365,0.274630403553449,-4.01556212496706,5.93042739107594e-05,0.0550419219840944,"DOWN","NUP210L",91181,-2.14770440847385
"ENSG00000181798",3215.17259485623,0.654839537709661,0.16383950795595,3.99683535356881,6.41949168571334e-05,0.0557377445431249,"UP","LINC00471",151477,1.57444082781787
"ENSG00000260219",3520.32588769195,0.674386861825143,0.169008247047286,3.99026008261277,6.60008816378033e-05,0.0557377445431249,"UP","CD2BP2-DT",101928707,1.59591837124118
"ENSG00000136859",78398.3230909853,1.06204407813118,0.26849196309144,3.95558982810029,7.63460540361062e-05,0.060562430949889,"UP","ANGPTL2",23452,2.08788764433255
"ENSG00000272217",3889.43771465305,-1.17082416067045,0.296230310829279,-3.95241174811856,7.73674662609776e-05,0.060562430949889,"DOWN","AL645940.1",NA,-2.25140274887467
"ENSG00000229017",3647.96646584812,0.797333672765182,0.202366942889024,3.94003912586866,8.14683209931554e-05,0.060562430949889,"UP","LINC01277",NA,1.73788626969559
"ENSG00000269038",2965.21939592671,0.766316326826503,0.194555773503784,3.93880023720602,8.18900745513575e-05,0.060562430949889,"UP","AP001462.1",NA,1.70092122501538
"ENSG00000137731",8591.5817225433,-0.783421055767277,0.199158910891325,-3.93364802137709,8.36662752416071e-05,0.060562430949889,"DOWN","FXYD2",486,-1.72120752856949
"ENSG00000151929",468803.547894921,-1.2299632220429,0.314789816451506,-3.90725226091415,9.33516772016638e-05,0.0639206687001122,"DOWN","BAG3",9531,-2.34561010214863
"ENSG00000281327",8762.12207074616,-1.44456515576525,0.370786809984977,-3.89594537039701,9.78164366926526e-05,0.0652152479896935,"DOWN","LINC01338",NA,-2.72180772641114
"ENSG00000273897",2551.11756914922,0.610478355849105,0.15839997817287,3.85403055537583,0.000116189085454584,0.0754782174356895,"UP","AC211476.3",NA,1.52676535617235
"ENSG00000149257",228413.570839503,-1.3360434998293,0.351197047265836,-3.80425607285357,0.000142230988405201,0.0821084229587344,"DOWN","SERPINH1",871,-2.52458018367313
"ENSG00000080031",27428.2847065454,1.17274989541168,0.310052098256991,3.78242850799747,0.000155305706612994,0.0821084229587344,"UP","PTPRH",5794,2.25440996750062
"ENSG00000129667",93289.2184170511,-0.918079171621842,0.244065309103449,-3.761612721588,0.000168821307406213,0.0821084229587344,"DOWN","RHBDF2",79651,-1.88959777571447
"ENSG00000251405",4438.56522981888,1.59726492094646,0.425305443906316,3.75557130488624,0.000172946511377911,0.0821084229587344,"UP","AC016571.1",NA,3.02569154889845
"ENSG00000162367",46874.3649446998,-0.692523418927437,0.184404214546928,-3.75546416132045,0.000173020519650762,0.0821084229587344,"DOWN","TAL1",6886,-1.61610778304132
"ENSG00000196335",6996.96316527319,0.963221980908757,0.256776164552657,3.75121258854705,0.000175981404868813,0.0821084229587344,"UP","STK31",56164,1.94965922388197
"ENSG00000278576",20568.1141281076,0.624696556584444,0.166635762843151,3.74887446683611,0.000177629963899239,0.0821084229587344,"UP","AL162171.3",NA,1.54188648485371
"ENSG00000152049",56152.9032740294,-1.3464893586183,0.35987029550392,-3.74159627910614,0.00018285509857061,0.0821084229587344,"DOWN","KCNE4",23704,-2.54292578652761
"ENSG00000213654",48895.7273786043,-0.610076545260827,0.163322105644812,-3.73541929827676,0.000187402672671796,0.0821084229587344,"DOWN","GPSM3",63940,-1.52634019004475
"ENSG00000268996",24562.5523713883,0.770705229486998,0.206901120564921,3.72499301783707,0.000195320628058047,0.0821084229587344,"UP","MAN1B1-DT",100289341,1.70610357063729
"ENSG00000165030",93449.3488501905,-0.704977915497665,0.189312373350764,-3.72388715549755,0.000196178640250741,0.0821084229587344,"DOWN","NFIL3",4783,-1.63011971105058
"ENSG00000234028",7685.38973794078,0.756086251402118,0.203067965263762,3.72331623267141,0.000196622990614079,0.0821084229587344,"UP","EIF2AK3-DT",101928403,1.6889027427383
"ENSG00000056736",255581.846049192,-0.690857930250078,0.18562800978798,-3.72173321816659,0.000197860005400571,0.0821084229587344,"DOWN","IL17RB",55540,-1.61424317818727
"ENSG00000149451",148845.993367625,-0.868238230584706,0.233347840272881,-3.72078965706034,0.000198600806514947,0.0821084229587344,"DOWN","ADAM33",80332,-1.82543238376584
"ENSG00000187922",12187.2031198363,-1.2893947181,0.3468513852025,-3.71742703967356,0.000201262083755676,0.0821084229587344,"DOWN","LCN10",414332,-2.44425485447171
"ENSG00000187800",48176.673515917,-0.862225637438616,0.232742176211987,-3.70463854670364,0.000211692378623926,0.0822609605162346,"DOWN","PEAR1",375033,-1.81784052083973
"ENSG00000165071",4178.74830209736,-0.950188594356008,0.256701089280186,-3.70153705627204,0.000214297351256029,0.0822609605162346,"DOWN","TMEM71",137835,-1.93212521579468
"ENSG00000275140",1697.08210110532,0.7581748342381,0.206004073791049,3.68038757819479,0.000232879715822021,0.08381857596743,"UP","SEC22B3P",NA,1.69134952998195
"ENSG00000178425",213720.246435252,0.624385999644968,0.170572632883062,3.66052859178777,0.000251695464361001,0.0852102420110597,"UP","NT5DC1",221294,1.54155461151974
"ENSG00000271474",47958.9555025489,0.760491763708412,0.207755845871121,3.66050717138509,0.000251716508292102,0.0852102420110597,"UP","AC106881.1",NA,1.69406797417026
"ENSG00000198580",3574.01209767638,0.834845320040161,0.228125701368742,3.65958467209584,0.000252624361678381,0.0852102420110597,"UP","AC073343.1",NA,1.78366579111565
"ENSG00000237742",2778.78831939156,1.06631445295917,0.291616139340992,3.65656871862057,0.000255613909328618,0.0852102420110597,"UP","AL365259.1",NA,2.09407694379066
"ENSG00000099622",1961098.17411887,0.637840580809301,0.175109472643836,3.64252470856695,0.000269977054034724,0.0888294631684382,"UP","CIRBP",1153,1.55599840428934
"ENSG00000070495",239840.382116949,-0.632973349227904,0.174711157717857,-3.62297037862974,0.000291239185425683,0.092231809534496,"DOWN","JMJD6",23210,-1.5507577654246
"ENSG00000143127",63143.8925091112,-0.90770893895637,0.251769786288548,-3.60531322021327,0.000311776663508689,0.0969074288306716,"DOWN","ITGA10",8515,-1.87606386242063
"ENSG00000178602",13044.0676441818,-1.09352013639871,0.304112532044098,-3.59577465962549,0.000323427681316054,0.0973633974290586,"DOWN","OTOS",150677,-2.13394077496111
"ENSG00000225217",56659.1640406591,-1.57151947373746,0.43965143492234,-3.57446683647251,0.000350942288772507,0.0987902542894608,"DOWN","HSPA7",NA,-2.97217584524821
"ENSG00000237714",13276.8297196575,-0.76523478724923,0.214346057993452,-3.57009032222373,0.000356858159908634,0.0993516646295081,"DOWN","P4HA2-AS1",100861518,-1.69964657985833
"ENSG00000276073",6193.73983358771,0.918773528424204,0.25783958210277,3.56335331034627,0.000366147340269201,0.100162008042466,"UP","None",NA,1.89050744187621
"ENSG00000273356",8068.12591045553,-0.740692209261276,0.208536408231386,-3.55186039475383,0.000382517753429617,0.100162008042466,"DOWN","LINC02019",NA,-1.6709773863411
"ENSG00000167588",65858.7884113523,0.827107198639066,0.23287536746081,3.55171612892144,0.00038272752552135,0.100162008042466,"UP","GPD1",2819,1.77412443071925
"ENSG00000280156",958.40548691552,1.05178755448748,0.297465537761553,3.53582993983855,0.000406496281017313,0.105087584485445,"UP","None",NA,2.0730969035872
"ENSG00000010610",87186.7317283089,-0.656182642296706,0.18582015514861,-3.5312780886009,0.000413556710424303,0.105832921804038,"DOWN","CD4",920,-1.57590726616772
"ENSG00000249679",2431.53711598377,0.6707307275066,0.190968726350959,3.51225428541605,0.000444322653108351,0.107386301560256,"UP","AC106897.1",105377590,1.5918790528147
"ENSG00000110172",371272.629039502,-0.704958642410476,0.201061408782343,-3.50618573041842,0.000454577898052509,0.107386301560256,"DOWN","CHORDC1",26973,-1.63009793428656
"ENSG00000137462",42414.9458018707,-0.915076627013727,0.261044738658356,-3.50543984037671,0.000455853509280356,0.107386301560256,"DOWN","TLR2",7097,-1.88566922423197
"ENSG00000129167",4487.60531044952,0.870165079111886,0.248316715766098,3.50425494484848,0.000457886771631351,0.107386301560256,"UP","TPH1",7166,1.82787204114476
"ENSG00000267270",15150.068855601,-0.836934852679399,0.238926620831999,-3.50289494642747,0.000460230937504352,0.107386301560256,"DOWN","PARD6G-AS1",100130522,-1.78625104171476
"ENSG00000105246",11793.6164480001,-0.870177194618661,0.248489631486912,-3.50186520625306,0.0004620132966279,0.107386301560256,"DOWN","EBI3",10148,-1.82788739136671
"ENSG00000116096",90465.0429714246,-0.694741943873443,0.199061871529201,-3.49008043849085,0.000482875179439703,0.110648341682604,"DOWN","SPR",6697,-1.61859488771363
"ENSG00000230216",5332.57217998757,-1.13792803090472,0.326144824235568,-3.48902679529513,0.000484782550888853,0.110648341682604,"DOWN","HSPB1P2",NA,-2.20064743631051
"ENSG00000130158",133305.451829783,-0.602031753445472,0.172964564216753,-3.48066528061221,0.000500170120709848,0.113141160787357,"DOWN","DOCK6",57572,-1.51785266025689
"ENSG00000099875",548738.621922793,-0.743761205177316,0.214098256471903,-3.47392462429942,0.000512905095481395,0.114653581939553,"DOWN","MKNK2",2872,-1.67453578298448
"ENSG00000275329",3977.97331351352,-1.0742175078819,0.309723951732789,-3.46830621872172,0.000523750107387425,0.114653581939553,"DOWN","AL138781.1",NA,-2.1055797331661
