"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez"
"ENSG00000064547",35293.6412309485,-0.41010092656505,0.151247861817345,-2.71144941579611,0.00669897614602082,0.240394561840563,"DOWN","LPAR2","9170"
"ENSG00000236065",5406.50504779322,0.564980916457771,0.20848325113455,2.70995829824788,0.00672916680844688,0.24055951523338,"UP",NA,NA
"ENSG00000270164",8019.69058304478,-0.903333969303748,0.333385233449547,-2.70958002535663,0.00673684512327551,0.24055951523338,"DOWN","LINC01480","101927931"
"ENSG00000122694",87309.1423130687,0.58791445425987,0.216977338806633,2.70956615789178,0.00673712675948338,0.24055951523338,"UP","GLIPR2","152007"
"ENSG00000157833",282275.938250148,-0.569382746516776,0.210154875401629,-2.7093482624594,0.0067415534168423,0.24055951523338,"DOWN","GAREM2","150946"
"ENSG00000276291",38964.5672196321,0.409095735553836,0.151090067748591,2.70762824883074,0.0067765882432262,0.241130425761427,"UP",NA,NA
"ENSG00000125122",26689.1648091997,0.378356560390615,0.139794515404403,2.70651934588486,0.00679926206805568,0.241159700771051,"UP","LRRC29","26231"
"ENSG00000198885",9212.04419473564,-0.662710728710973,0.244886807079319,-2.70619204282541,0.00680596747784889,0.241159700771051,"DOWN","ITPRIPL1","150771"
"ENSG00000186827",7012.84799725711,-0.657262866848603,0.243260257262775,-2.70189168688831,0.00689462185276834,0.242409816010492,"DOWN","TNFRSF4","7293"
"ENSG00000111816",18232.78906685,0.677597425041369,0.25081614339943,2.70157022533546,0.00690129046344989,0.242409816010492,"UP","FRK","2444"
"ENSG00000178401",12655.3806645707,0.802832959380787,0.297354068015085,2.69992256954783,0.00693556157017281,0.242409816010492,"UP","DNAJC22","79962"
"ENSG00000272055",2368.36252428828,-0.453953796725182,0.168148193879987,-2.69972448856147,0.00693969191576789,0.242409816010492,"DOWN",NA,NA
"ENSG00000173275",64140.8723018015,0.384745368973801,0.142513549360604,2.69971080434096,0.00693997733800658,0.242409816010492,"UP","ZNF449","203523"
"ENSG00000233178",4403.61196616075,0.544357704577414,0.201800119452336,2.69750932781776,0.00698603275242743,0.243221774207753,"UP",NA,NA
"ENSG00000148123",101467.267059446,0.57417903083182,0.212866282325774,2.69736956251759,0.0069889659215806,0.243221774207753,"UP","PLPPR1","54886"
"ENSG00000161270",6242.04141238951,0.520108149887494,0.192856872359941,2.69686085604864,0.00699965117555054,0.243259482212034,"UP","NPHS1","4868"
"ENSG00000133739",77731.6320141853,0.437419095916985,0.162303518018883,2.69506848191729,0.00703741656607447,0.244236916029448,"UP","LRRCC1","85444"
"ENSG00000174353",50882.9375138688,0.394864865261513,0.14658638455836,2.69373493623691,0.00706563302409027,0.244880728680338,"UP","TRIM74","378108"
"ENSG00000177352",32747.1132098139,0.350730293001913,0.130303268722124,2.69164616084848,0.00711003357260195,0.245747204040751,"UP","CCDC71","64925"
"ENSG00000267523",21301.0203325345,-0.433337724343315,0.161206996171329,-2.68808261821818,0.00718636136926623,0.246257664698297,"DOWN",NA,NA
"ENSG00000120889",87839.2194219313,-0.443763549055203,0.165101011581336,-2.68783058810385,0.00719178736753556,0.246257664698297,"DOWN","TNFRSF10B","8795"
"ENSG00000123146",58680.3057919168,0.570521164131973,0.21226204912324,2.6878152099659,0.00719211856502595,0.246257664698297,"UP","ADGRE5","976"
"ENSG00000258908",20669.3947386867,-0.603319504471528,0.224494697759261,-2.68745547442062,0.00719987006197675,0.246257664698297,"DOWN",NA,NA
"ENSG00000198483",102100.495776933,-0.320479732224531,0.11926429643728,-2.68713891582019,0.00720669739379971,0.246257664698297,"DOWN","ANKRD35","148741"
"ENSG00000204301",227416.090034403,-0.4085573175266,0.152081864273159,-2.68643022939788,0.00722200295523327,0.246257664698297,"DOWN","NOTCH4","4855"
"ENSG00000102595",129642.436609823,0.371655899710958,0.13848993652488,2.68363109289309,0.00728274171898608,0.246643801350196,"UP","UGGT2","55757"
"ENSG00000256072",2011.74482347021,-0.836054422302102,0.311559490937526,-2.68345034133384,0.00728667957632646,0.246643801350196,"DOWN",NA,NA
"ENSG00000144306",145393.609784488,0.275569808328617,0.102697181353533,2.68332396952525,0.00728943384998231,0.246643801350196,"UP","SCRN3","79634"
"ENSG00000115657",330736.688162688,-0.254217483934534,0.0947412918939321,-2.6832807411909,0.00729037622596712,0.246643801350196,"DOWN","ABCB6","10058"
"ENSG00000152439",33480.0399214887,0.274072572041672,0.102148976397276,2.6830672387333,0.00729503217457496,0.246643801350196,"UP","ZNF773","374928"
"ENSG00000160117",19971.7886878501,-0.47394475847924,0.176648071814553,-2.68298857502839,0.00729674830351927,0.246643801350196,"DOWN","ANKLE1","126549"
"ENSG00000155542",15539.7813709296,0.542778730240358,0.202320109124848,2.68277203184691,0.00730147428508572,0.246643801350196,"UP","SETD9","133383"
"ENSG00000057252",94938.9038158288,-0.286835592176282,0.106975085414653,-2.68133080767789,0.00733299854555579,0.247147878450979,"DOWN","SOAT1","6646"
"ENSG00000037897",28675.1987727694,0.305797372369264,0.114052508955841,2.68119811803232,0.0073359070296087,0.247147878450979,"UP","METTL1","4234"
"ENSG00000101096",29778.4910802854,-0.532460996242921,0.198814327347475,-2.67818221828812,0.0074022935996995,0.248509879229769,"DOWN","NFATC2","4773"
"ENSG00000167131",102642.447533297,-0.623611773864355,0.232874667307711,-2.67788583908245,0.00740884654934093,0.248509879229769,"DOWN","CCDC103","388389"
"ENSG00000163993",2057.8420128866,-1.23211445789536,0.460182602166288,-2.6774468484798,0.00741856220120377,0.248509879229769,"DOWN","S100P","6286"
"ENSG00000252464",6125.23640443925,1.03945511206168,0.38827085785005,2.67713914409492,0.00742537906362482,0.248509879229769,"UP",NA,NA
"ENSG00000124107",17506.6220773061,-1.62395725507316,0.60690441583584,-2.67580398609659,0.00745502318979963,0.24917283972767,"DOWN","SLPI","6590"
"ENSG00000068784",27667.6424153893,0.3423507023789,0.127975001944802,2.6751373094455,0.00746986491249005,0.249339957256832,"UP","SRBD1","55133"
"ENSG00000171492",284899.272564932,0.465357302642729,0.174009300344282,2.67432431325227,0.0074879998946213,0.249479432119497,"UP","LRRC8D","55144"
"ENSG00000259780",27442.8796813296,-0.511691666987489,0.191353313616002,-2.6740674478955,0.00749373782683787,0.249479432119497,"DOWN",NA,NA
"ENSG00000261777",9819.95997812459,0.342722081885332,0.128212062844292,2.67308765089875,0.00751566103569826,0.249880934828629,"UP","LOC100506083","100506083"
"ENSG00000221990",29158.714651035,0.373078635222023,0.13964632540678,2.67159650735721,0.00754913612986157,0.250336863678067,"UP","EXOC3-AS1","116349"
"ENSG00000197361",9255.54060194429,0.538069693123777,0.201550906361728,2.6696466060941,0.00759311168371067,0.250841810160253,"UP","FBXL22","283807"
"ENSG00000214447",101658.109979606,-0.627897724215432,0.235246422324918,-2.66910636944008,0.00760533604266684,0.250841810160253,"DOWN","CCDC103","388389"
"ENSG00000280832",17223.7059721002,-0.295550300335546,0.110743182411324,-2.66879002300845,0.00761250244922466,0.250841810160253,"DOWN",NA,NA
"ENSG00000104870",190481.388745407,-0.418092395806031,0.156673505437658,-2.66855837965784,0.00761775385901266,0.250841810160253,"DOWN","FCGRT","2217"
"ENSG00000136870",221684.780876204,0.329393124072072,0.123492931719317,2.66730346009389,0.00764625967423134,0.251255497855578,"UP","ZNF189","7743"
"ENSG00000069869",27409.9033370113,-0.485719511022507,0.182145712195354,-2.6666535553775,0.00766105997253975,0.251415744047014,"DOWN","NEDD4","4734"
"ENSG00000081052",19424.785357378,-0.447186602487238,0.167741078040625,-2.66593375761503,0.00767748191072282,0.251487506021246,"DOWN","COL4A4","1286"
"ENSG00000255847",2166.31599445432,0.906724065666422,0.340267630165704,2.66473794531929,0.00770483371206546,0.251487506021246,"UP",NA,NA
"ENSG00000137193",109264.430048705,-0.489308781736449,0.183637567124299,-2.66453530940786,0.0077094772441828,0.251487506021246,"DOWN","PIM1","5292"
"ENSG00000271913",16167.665781798,0.351421223800438,0.131911310785672,2.66407195643308,0.00772010470087179,0.251487506021246,"UP","LOC105378083","105378083"
"ENSG00000163631",6661.57237248945,0.745054069989921,0.279667782177777,2.66406828912567,0.00772018886651788,0.251487506021246,"UP","ALB","213"
"ENSG00000163735",8456.80947788422,-0.697992070585846,0.262013531268796,-2.66395428971103,0.00772280559244245,0.251487506021246,"DOWN","CXCL5","6374"
"ENSG00000251396",10992.1628812882,-0.577020204929395,0.216735200700743,-2.66232805314405,0.00776022062781284,0.251734403087532,"DOWN",NA,NA
"ENSG00000205268",136117.54842692,0.312063178824705,0.117220231655262,2.66219554779983,0.00776327633998707,0.251734403087532,"UP","PDE7A","5150"
"ENSG00000183943",134716.239825245,-0.619876288720407,0.2329161095104,-2.66137146985416,0.00778230465655343,0.251734403087532,"DOWN","PRKX","5613"
"ENSG00000256955",10739.3741659455,-0.987407218871265,0.371168575575544,-2.66026620745079,0.00780789125114679,0.251734403087532,"DOWN",NA,NA
"ENSG00000169398",1194609.06662923,0.332993760585143,0.125181203224709,2.66009394387588,0.00781188589870085,0.251734403087532,"UP","PTK2","5747"
"ENSG00000253764",38126.364066396,-0.52850448108017,0.198702842425728,-2.65977312970607,0.0078193301902865,0.251734403087532,"DOWN","LOC101928058","101928058"
