"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez"
"ENSG00000139133",7054.17177778821,0.548855554891589,0.211272887339054,2.59785134668405,0.00938090953261691,0.154114943646013,"UP","ALG10","84920"
"ENSG00000145423",67579.0970888399,-0.964960516225295,0.371464982810981,-2.59771596483513,0.00938460855286553,0.154114943646013,"DOWN","SFRP2","6423"
"ENSG00000225489",2066.50690787324,0.83919135960111,0.323050245697244,2.59771156585834,0.00938472876734656,0.154114943646013,"UP",NA,NA
"ENSG00000127249",124678.67737408,0.630886985333335,0.242940852733316,2.59687482872993,0.00940761997280675,0.154278501835836,"UP","ATP13A4","84239"
"ENSG00000090273",893722.849109589,-0.294326306777997,0.113361871513554,-2.59634304593151,0.0094221942022236,0.154411384518721,"DOWN","NUDC","10726"
"ENSG00000136868",99382.9417003722,0.315514499673445,0.121538196570626,2.59601103666285,0.00943130357578443,0.154454587935341,"UP","SLC31A1","1317"
"ENSG00000132950",60521.6482974887,0.323113111115589,0.124478031528481,2.59574406140621,0.00943863430153487,0.154468623504063,"UP","ZMYM5","9205"
"ENSG00000260037",52263.1988095206,-0.301609290029325,0.116222683154241,-2.59509832197778,0.00945638632001631,0.15449858284091,"DOWN",NA,NA
"ENSG00000272162",21998.8644744153,0.343704034408706,0.132450047824507,2.59497101023402,0.0094598897586258,0.15449858284091,"UP",NA,NA
"ENSG00000280187",17919.0730728329,0.47673356128208,0.183735575766716,2.59467204047285,0.00946812153415052,0.154527255763588,"UP",NA,NA
"ENSG00000246100",20797.0793800134,0.541463859828409,0.208795131842039,2.59327818159115,0.00950658416052635,0.155026185529175,"UP",NA,NA
"ENSG00000117400",3143.04771656137,1.00302728993212,0.38680719413813,2.59309367853673,0.00951168583105121,0.155026185529175,"UP","MPL","4352"
"ENSG00000124107",17506.6220773061,-1.86904459877316,0.720906036633786,-2.59263274795217,0.00952444163439905,0.155051268672537,"DOWN","SLPI","6590"
"ENSG00000197915",2946.55367435754,1.66891706760933,0.643731138367732,2.59256849348797,0.0095262210248497,0.155051268672537,"UP","HRNR","388697"
"ENSG00000171163",472314.43345811,-0.430171979107381,0.165961972796744,-2.59199123665648,0.00954222022227474,0.155205805537626,"DOWN","ZNF692","55657"
"ENSG00000047410",357898.725288561,0.31558675664708,0.121783367122597,2.59137815042824,0.00955923869786824,0.155239946890699,"UP","TPR","7175"
"ENSG00000260855",27983.2828056919,0.432902431731899,0.167068440873713,2.59116820309067,0.00956507278055927,0.155239946890699,"UP",NA,NA
"ENSG00000267523",21301.0203325345,-0.496156703962575,0.191485999581384,-2.59108605875754,0.00956735629711737,0.155239946890699,"DOWN",NA,NA
"ENSG00000101306",7490.59260325614,0.895266838739294,0.345532312397143,2.59097863388911,0.00957034331655077,0.155239946890699,"UP","MYLK2","85366"
"ENSG00000283341",61797.3217176718,0.556101092943848,0.214659912572892,2.59061455060927,0.00958047307851542,0.155298687585908,"UP",NA,NA
"ENSG00000127191",103729.475910879,-0.395466129296317,0.152735536349606,-2.58922146573087,0.00961932072006427,0.15553096704502,"DOWN","TRAF2","7186"
"ENSG00000274420",3670.4263418259,0.641428686834978,0.247761009111954,2.58890084898363,0.00962828131218326,0.15553096704502,"UP",NA,NA
"ENSG00000189306",307069.543110378,0.34104765202015,0.13174729128546,2.58865020064203,0.00963529161032218,0.15553096704502,"UP","RRP7A","27341"
"ENSG00000250461",11240.2338309013,-0.551362391035501,0.21301603264815,-2.58836099884658,0.00964338585071259,0.15553096704502,"DOWN",NA,NA
"ENSG00000159267",93550.7324301971,0.34355741275452,0.132733010796546,2.58833436153368,0.0096441316861953,0.15553096704502,"UP","HLCS","3141"
"ENSG00000210194",499605.479637262,-0.890898686572236,0.344200861612745,-2.58831044872448,0.00964480128032692,0.15553096704502,"DOWN",NA,NA
"ENSG00000105672",2372.76317170435,-0.811749266359858,0.313626131821297,-2.58827050426522,0.00964591987688134,0.15553096704502,"DOWN","ETV2","2116"
"ENSG00000213057",6146.13368275473,0.766386988788878,0.296104236301962,2.58823378672411,0.00964694820948951,0.15553096704502,"UP","C1orf220","400798"
"ENSG00000157259",242304.148320822,0.259897192156702,0.100446728415566,2.58741321152305,0.00966995522369597,0.155609435388131,"UP","GATAD1","57798"
"ENSG00000163703",570594.030588079,-0.342264830016241,0.13228329437602,-2.58736246047321,0.00967137976952341,0.155609435388131,"DOWN","CRELD1","78987"
"ENSG00000260442",5724.05932786784,-0.499851531776037,0.193208569361555,-2.58710849848826,0.00967851111226682,0.155619241003907,"DOWN","ATP2A1-AS1","100289092"
"ENSG00000268996",24562.5523713883,0.635634047458101,0.245766951076043,2.58632840858017,0.00970044563535999,0.155823251538373,"UP","MAN1B1-DT","100289341"
"ENSG00000179295",1436571.1313224,0.300240205489326,0.116093615251489,2.58619050529977,0.00970432779743913,0.155823251538373,"UP","PTPN11","5781"
"ENSG00000251660",536782.333422241,0.822858732738871,0.31820328157934,2.58595300669048,0.00971101694780171,0.155823251538373,"UP",NA,NA
"ENSG00000272800",4895.6019607674,-0.673845068424915,0.260606660853991,-2.58567860935239,0.0097187504680803,0.155823251538373,"DOWN",NA,NA
"ENSG00000112339",388936.069149417,0.424654038898579,0.164248482386378,2.58543660634637,0.00972557555268368,0.155823251538373,"UP","HBS1L","10767"
"ENSG00000207405",2589.24582097134,-0.603824778154017,0.233582771879408,-2.58505699412521,0.00973629016485646,0.155823251538373,"DOWN","SNORA64","26784"
