"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez","FoldChange"
"ENSG00000134830",12149.8538544468,-0.607568960864013,0.291586115297435,-2.08366903974236,0.0371902822773365,0.275012363742365,"DOWN","C5AR2",27202,-1.52368952418019
"ENSG00000115935",193083.917200187,0.600274173292924,0.288125636277267,2.08337647787534,0.0372169206104135,0.275012363742365,"UP","WIPF1",7456,1.51600464436523
"ENSG00000226995",1688.45418707927,-0.899248113061892,0.431666847906541,-2.08319938726586,0.0372330529490156,0.275012363742365,"DOWN","LINC00658",100507629,-1.86509370199959
"ENSG00000267904",6057.5799927202,0.68001353835128,0.326567926329196,2.08230350725195,0.0373147557638372,0.275294113435408,"UP","AC024075.1",NA,1.60215478984143
"ENSG00000279800",37330.5737303295,0.723415555668586,0.347426050065303,2.08221449005511,0.0373228823176931,0.275294113435408,"UP","BCLAF1P2",NA,1.6510863294922
"ENSG00000272915",1728.05752344671,-0.755601927744016,0.363069834602421,-2.08114763533422,0.0374203948462201,0.275752946703415,"DOWN","AC018635.2",NA,-1.68833586044756
"ENSG00000272114",9011.55467682191,-0.853836463375404,0.41049115585909,-2.08003619855942,0.0375222127850786,0.276247306160062,"DOWN","AL136131.3",NA,-1.80730057542359
"ENSG00000257530",1194.6624021137,1.04558468026584,0.503197001619866,2.0778833675478,0.0377201028014844,NA,"UP","AC048344.1",NA,2.06420274747936
"ENSG00000249476",2399.75427163813,-0.690869863938994,0.332514911127598,-2.07771092609403,0.0377359921016996,0.277051848473432,"DOWN","AC008467.1",285638,-1.61425653094377
"ENSG00000221869",237997.023958995,-0.713644924155983,0.343538756025964,-2.07733454126511,0.0377706931679309,0.27722131949554,"DOWN","CEBPD",1052,-1.63994215045251
"ENSG00000275294",2068.12438903651,0.634592141309319,0.305680034283545,2.07600127629101,0.0378938329527122,0.277615962771192,"UP","LINC02340",NA,1.55249878707656
"ENSG00000254633",7431.35482685843,0.657747299541654,0.316865754598935,2.07579168778962,0.0379132214824872,0.277669545056362,"UP","AL512590.2",NA,1.57761732424446
"ENSG00000205307",70344.5467047617,-0.662602786590442,0.319580989787687,-2.07334856504025,0.0381398520372661,0.278815872996693,"DOWN","SAP25",100316904,-1.58293584620015
"ENSG00000262211",33249.3700332896,0.783398725984741,0.377927301879016,2.07288206512142,0.0381832565305977,0.279047682718711,"UP","AC008914.1",NA,1.72118088822536
"ENSG00000272711",1844.43048547092,0.693638508328819,0.334677323656499,2.07255902715639,0.0382133375168322,0.279182010560053,"UP","AC019069.1",NA,1.61735738966716
"ENSG00000243504",1179.60710972774,0.798002896545483,0.385039715005579,2.07252100353835,0.0382168795648074,NA,"UP","RPS23P1",NA,1.73869261100591
"ENSG00000259546",2583.19618663385,-0.684399349796384,0.330254740548127,-2.07233770107427,0.0382339588193009,0.27924716602,"DOWN","AC027808.1",NA,-1.60703277177756
"ENSG00000266171",3255.08221440334,0.840778670321325,0.405749447217944,2.0721622077028,0.0382503165397995,0.279281151455372,"UP","AP001020.3",NA,1.79101655201418
