Ctx_PD_up,Ctx_PD_dn,Str_PD_up,Str_PD_dn,SN_PD_up,SN_PD_dn,Ctx_DLB_up,Ctx_DLB_dn
TMEM130,RSPH1,DCUN1D1,MYOM1,PAX6,NAP1L2,GIPR,TMEM196
FAP,TIPARP,CYCS,A2LD1,HEBP1,NAP1L3,CHORDC1,GABRB3
CX3CR1,C2orf40,SLC38A2,CES2,PC,NCF2,DNAJC2,NAPSB
FRA10AC1,MPZL2,PLEKHA5,CCK,PCBD1,NDN,USP21,GABRD
SFTPA2,LGR5,CPVL,CCKBR,PCDH9,NDUFA5,GJB1,GABRE
ZNF148,TTLL7,ASNSD1,SYNJ2,FAHD2A,ACLY,ARRDC2,MFSD8
BLCAP,CD38,LZTFL1,USP13,BOLA1,NEB,INVS,GABRG1
YPEL1,KLF6,ATRX,NOL3,SERPINA5,NEFM,EIF2C2,GABRG2
FBXW7,FCRLA,NDFIP2,MIDN,NOSIP,NEFH,BBS9,MAMDC2
PLXNA2,SLC4A4,FAM63B,TSR2,RRNAD1,NEFL,PCDH17,GABRG3
C1QA,FBXO15,TMEM106B,CH25H,SCCPDH,NELL2,C10orf28,GAD1
CTXN1,SLC44A1,RRN3,MAP7,DCXR,ATP1A3,TP53TG5,C1orf192
PHF15,SPOPL,PDP1,TRIM41,SS18L2,NNAT,GCLM,NEGR1
SLC27A2,ATPBD4,RBFOX1,PDLIM1,HERC5,NME1,ZNF330,GAD2
GDA,TMEM123,OTUD4,CCNE2,CKLF,NPM1,KCNMB4,C11orf41
CXCL6,COL9A3,MPHOSPH8,SESTD1,GLTP,NPY1R,STK39,C22orf24
BST2,CSRP2,GRAMD1C,FIBP,PHF20,NRAS,BIN1,TMEM59L
UBAP2L,PEX11G,KLHL24,CD3E,CDK18,NRGN,GLRA1,NGEF
SCN9A,KCNJ2,PPID,ARRDC4,ERGIC2,NSF,CECR2,LMOD1
SRP19,FAM20A,ZNF562,ATP6AP1L,ECSIT,NTSR1,GMFB,BAMBI
C3orf22,C2orf39,TRPM7,IL32,KRCC1,NR4A2,GOLGA4,TNFAIP8
SLA,ZFP36L1,VPS13C,CRLF1,PLAC8,RBMXL1,SLCO3A1,FBXL2
PFTK1,TFEB,BSPRY,G6PC3,PHF21A,OAT,POC1B,PARM1
MAP1B,FAM154A,FNBP1L,SLC38A5,PLA1A,OCRL,JAKMIP3,DCAF12
BTBD11,VPS26A,KIAA1797,GPR56,TEX264,OMD,CDH20,PART1
NFAT5,SOX10,PIGX,UBE2Q2,PDE1C,OLR1,HARBI1,BRP44
NAPB,HPSE,TTC12,B3GNT7,SNX9,OMG,KCNRG,ABI3BP
THBS1,FAT4,ZNF770,IGSF8,C9orf114,OPA1,C14orf178,PAMR1
SRC,EGR2,TESC,PGAP3,C20orf43,ATP5A1,LOC283588,OLFML2B
CAMK1G,CD93,PPP1CC,CD163,SIRT7,OPRK1,FAM177A1,GALNT3
GALR1,POLI,PRPF39,FAM125A,PEX5L,OXT,C17orf28,ALS2CL
C16orf88,KIAA1324L,PPP1R1A,OPALIN,HDAC7,PAK3,ZNF547,WWTR1
HSD11B1L,ZNF610,ATG16L1,VAMP3,PDGFRB,CALY,ZNF615,KANK2
IFFO2,MCTS1,TMEM45A,TTYH2,SRRT,PAM,ZNF763,GAP43
RP1L1,SLC47A1,ARGLU1,FADS2,KLF13,PAPPA,BTBD8,GPR124
ZNF605,PPFIBP2,C10orf118,FOXQ1,SLC25A39,STMN3,ANGPT2,EGFL6
OR10C1,HIP1R,PPP1R7,PPP1R14A,MRPL48,PBX1,C2orf61,NECAP1
EN1,DNAJC10,SDAD1,HAND2,RASD1,ATP5C1,CDH19,SNED1
LYZL6,RDH16,MSL2,AKAP7,STYXL1,PCDH8,DLL1,NELF
IL13,C1orf97,RIF1,GAL3ST1,PDK4,SLMO2,SLC9A9,CYP4X1
CA7,RNF125,RIC8B,LITAF,ZFR,ATL1,GPER,SUSD5
ECT2,ANXA2,C12orf35,CD38,HECA,NMD3,ZNF619,IPCEF1
S100A3,KIF19,RAVER2,VPS4B,GPRC5B,GAL,ZNF621,GLCE
ASAM,LRRFIP2,MOB1A,GABBR2,LUC7L3,IFT52,C3orf33,SIPA1L1
GCHFR,FGGY,PCMTD2,ENTPD5,HIGD1B,PCMT1,FRYL,CHD5
BDP1,GADD45B,PPP2R5C,CDC42BPB,PEX6,FAM164A,FAM200B,SETBP1
PBX4,HLA-DMA,UBE2W,CREB5,SERPINB6,MECR,SH3PXD2B,MAGI3
SYT4,KIAA1618,RHOT1,GDA,PIK3R2,FAM82B,C5orf64,LRRTM2
SPIN2A,TMEM165,PPP3CA,ISG15,PIP4K2A,UTP11L,C7orf53,ERC2
GOLSYN,C13orf33,PPP3CB,SH3PXD2A,PLCL1,COPS4,GPR37,TCTN3
SSBP3,NT5C,PPP3R1,KIAA0040,NUDT9,DYNC1LI1,ZNF252,TES
HTT,PLS3,STRBP,ST18,PLD1,PCSK1,ZFP41,LRRC32
FKBP1A,PCDHB4,PLCXD1,TMEM63A,PLOD1,ANKRD39,CRB2,TIPRL
APC,MYLIP,NCRNA00185,ZNF536,MBD3,TMEM69,TPRN,STEAP2
RGS14,CD24,KIAA1704,CD97,PTOV1,TBC1D7,GRK4,PITPNC1
PPP3R1,FLNA,AP1AR,ZFYVE16,PLXNB1,PCSK2,TRIM59,TIAM2
SERPINA5,SCN11A,C2orf56,KIAA0247,PLXNB3,MRPL30,DEXI,OR2L2
CDK5R1,NTS,SMPD3,RASSF2,RAB24,DNAJC27,SLC27A6,SLC13A4
BAIAP3,DDIT4,ELMOD1,ZEB2,C21orf49,ARMCX1,FLVCR1,FBXO6
PRG2,SPNS3,IL17RB,GAB2,PNMT,PDE1A,C13orf15,FBXO3
SPIRE2,NDE1,PPP1R9A,NUAK1,PODXL,POMP,NOB1,AK5
PPFIBP1,SNAI2,G2E3,HS3ST2,POLR2F,UCHL5,HIPK2,GBP1
RORB,NEK3,INTS8,,POLR2H,HPCAL4,KLF15,GBP2
SORBS2,FCGBP,PKIA,,SLC38A2,C14orf129,SLC43A3,GBP3
TMC1,LYRM7,FAR2,,CCDC76,RAB6B,GRIN2C,PTPN18
SLC25A38,COL14A1,ATF7IP,,DDIT4,MBIP,ZBTB44,CNNM1
C22orf23,CAPZA1,VPS35,,ATRX,AZIN1,C1GALT1C1,MYOF
SPHKAP,TAF1L,CCAR1,,KIF1A,ATP6V1H,SETD2,GCNT2
NOL4,ACTC1,TMEM30A,,CTSA,TAF9B,METTL5,HS6ST3
TREML4,RSPH4A,TTC17,,KLHL24,HMP19,TIMM21,NAP1L5
COL5A3,CLK1,ZNF83,,PPID,DYNC2LI1,MRPL22,GFAP
NUDT11,DAAM2,PRKAR2B,,VPS13C,TRAPPC2L,SSU72,GGTA1P
NCOA5,PCSK1,PRKCB,,MTMR10,CYB5R1,MYLIP,B4GALT1
DAAM1,GJB2,LRIF1,,CHTF8,WBP11,BRD7,GGT5
CDH12,ANK3,CACNA2D3,,LIME1,SYT17,CTNNA3,GH2
ANKRD20A5,ARHGEF16,SCN3B,,HAUS4,ATP8A2,GRM3,GHR
GABRA6,GRM3,BDP1,,ADPRHL2,PENK,GSTT1,NBEA
LYSMD2,ZNF700,KDM3A,,UCKL1,PEX7,GSTZ1,CYFIP2
RGS17,EFHC1,DCAF6,,BANP,PFDN4,MSH6,KCNV1
CCK,RBM7,CISD1,,CPSF3L,PFKM,GTF2E1,GJA5
GIT1,FAM73A,IDI2-AS1,,C9orf95,ATP6V1A,GTF3A,NPTN
RAB6B,DAPK2,PRKD1,,AUP1,SLC25A3,TFPT,GJB2
DDX54,PQLC3,ASH1L,,FAM118A,PHKB,PSMC3IP,D4S234E
WDR64,TMTC4,GSDMB,,NOL8,ATP6V1B2,GPSM2,GJB3
SERPINA4,CA5B,LMO3,,ARGLU1,SERPINB9,HILPDA,TSPAN13
AK3L2,RGS7BP,PRKCZ,,EBLN2,ATP6V1C1,POMT2,B9D1
SAMD7,CEP192,MAPK1,,ARHGAP17,PIK3C2A,PSAT1,FOXP1
DUSP26,FUT8,GNG12,,CRTAC1,ACP2,DONSON,CACNG4
THOC6,DCUN1D4,MAP2K1,,TRIM68,PLCB4,OBP2B,PDE7B
POLN,NPTX2,DNAJC3,,ANKZF1,SPA17,SH3KBP1,DKK2
AOAH,EFS,PCDHB14,,LRRC8D,STX18,CDR2L,FILIP1
NAP1L2,FLJ43806,SERTAD4,,SDAD1,PMCH,HIP1,CPAMD8
KIAA0513,SEMA5A,AZGP1,,MSL2,PNOC,ACACA,SLC39A1
UPF1,GMNN,PRPS2,,RNF220,ATP7A,HLA-DRB1,GPC3
FGF13,KRTAP10-9,PRMT8,,NADSYN1,GPR84,AOAH,GPR77
AKTIP,UTX,KCNQ5,,C12orf35,SLCO1C1,HMBS,SERP1
RNF115,NR4A2,RELN,,LRRC1,RBM11,HMGB3,SULT1C4
KALRN,TMEM105,DNAJC12,,PPP2R5A,GPR88,HNRNPH3,SULT1B1
SYT6,LINC00339,JPH1,,PHF10,GNG2,APC,SRPX2
N4BP2,CPVL,CELF4,,TMEM140,GDAP1,HPR,RND1
CRTC1,CDK5RAP2,ANKS1B,,SLC29A3,DNAJC10,PRMT2,AMPH
RASL10B,REXO1L1,STARD7,,RSAD1,PLEKHA5,HSD11B1,RBMS3
KDM5A,TMEM170A,PMEPA1,,PLCXD1,PCDH18,HSD17B3,GLDC
CACNG2,SEMA3C,CHPT1,,CHDH,HMGCLL1,DNAJB2,PCDH11X
OBP2B,HKDC1,DDX24,,PIDD,MRPL50,HSPA1A,PCSK1N
ZNF346,DACT2,CAMK1D,,NCRNA00185,MAGEL2,HSPA1B,GLO1
F12,TMCC3,PAK7,,IL17RB,SGTB,HSPA1L,GLRB
CLLU1,C1QA,PELI1,,PRIM1,LRRN3,HSPA2,GLS
SNX31,GLCE,ASPHD2,,C2orf29,MANSC1,HSPA4,GLRX
BTN3A3,CD177,CAMK1G,,FAM48A,LEPROT,APLP1,GMDS
LRRN3,FLJ41603,ACTR3B,,ZCCHC8,EPDR1,DNAJB1,GMPR
TRPM5,CMAHP,THOC2,,ANKRD10,PPIA,FOXN2,GNAI2
TNFRSF11B,FLNB,ZNF248,,TRMT1,BNC2,B4GALNT4,GNAL
STMN2,C4orf43,PSPH,,CHD7,LRRC49,TMEM119,GNG3
CDC42EP3,GPR37,JPH3,,INTS8,MFSD6,C1QTNF9,GNG4
PPTC7,MYO1D,C3orf14,,ZNF692,SYTL2,ZNF546,GNG11
LOC440925,MCEE,SLC24A3,,NECAP2,ELOVL2,IRF8,AMY2B
CCDC146,KLHL4,NDRG3,,FAM178A,AUH,SLC35E4,GOT1
S100A8,NPHP3,FAM40B,,TTC17,TTC19,LOC339803,GPM6A
KIR2DS3,SLC12A2,RNF150,,ZNF83,RG9MTD1,NAT8L,GPR4
OTUD4,PTP4A1,GPR158,,ZNF415,TTC12,SLC35D3,H19
NEUROD2,LANCL1,KCTD16,,FAM63A,C20orf27,C7orf46,PGM2L1
LNX1,GPRC5B,KIAA1324,,PCID2,ACSM5,APOC1,OTOGL
ZNF605,RGS2,NCEH1,,RNF130,RMND1,COX8C,KIAA0284
SYN1,HSPA2,LRRC7,,WWC3,HERC6,GLDN,ANGPT1
LOC100507433,CLDN15,KIAA1377,,PLK1S1,PID1,SP110,GPR19
LOC644634,TM2D1,ARHGAP20,,TMEM165,FAM70A,IFIT2,METRNL
HRK,TULP3,ZNF471,,ASH1L,FKBP14,NCKAP5,KCTD1
ULK3,CRIP1,ARHGAP21,,GSDMB,PPP1R2,IFRD1,GPR21
MS4A5,PIR,KIAA1462,,ZNF395,PLEKHB2,C6orf52,C19orf77
MAPRE3,SRPK2,PTMS,,ZNF302,ZWILCH,SKA2,GPR22
TPD52L1,GIN1,LRRN1,,RCC2,CXorf57,NIPAL4,IGHV3-9
KCTD2,KIAA1033,USP28,,SMG9,GPATCH2,ZNF713,IGHV2-5
KCTD16,SLC39A8,ZFP14,,MAP2K2,SRBD1,RILPL1,LPAR4
GABRB1,GNAL,GPAM,,PRKX,MTPAP,ANKRD37,FAM102B
IQUB,NQO1,ZDBF2,,PRKY,PRMT6,AQP1,SLC25A34
ATL1,UPK2,CACHD1,,CRTAM,SEC61A2,INPP1,GPR26
HLF,NUP54,VAT1L,,SERTAD4,NUDT11,INPPL1,FAM150B
SCAMP5,SYPL1,BAI3,,AZGP1,BBS7,INSR,DNAJC5G
CHORDC1,TSEN15,CWC22,,PRPS2,PNMAL1,EIF3E,UNC80
GPR44,C4orf18,PTPN4,,RELN,PPP2R3A,IRAK2,C3orf64
TMEM155,TMEM17,PTPN7,,KLK6,OGFOD1,AR,EPHA6
PRICKLE2,DMRT2,PTPRM,,HTRA1,ASXL2,ITGA2,IGSF10
GNAO1,ALDH3A1,PTPRO,,KCNK12,TMEM100,ITGB8,KIAA0825
RUSC1,LIPA,JAM2,,BDH2,FGGY,ITPKB,LOC285696
EFNB3,CDCA7L,ZNF462,,STARD7,UEVLD,CD82,RGMB
PSMG1,NSUN7,RRAGD,,GPR108,TBC1D19,ZNF710,SCARA5
PSG5,MEIS1,RAB4A,,C11orf30,RFK,ZNF568,NKAIN3
SEMA4F,ACSL1,RAP1A,,PSMB8,C5orf22,FAM73A,SCAI
GPNMB,SMA4,RAP1GAP,,POGLUT1,MNS1,KCNJ2,C9orf47
CEP19,ZDHHC11,RARB,,REXO4,NIPSNAP3B,SLC27A1,TRBC2
CARD18,DNAH9,RBBP4,,ATP13A1,TCP11L1,KCNJ9,CXorf59
GTF3C1,MBP,RBBP5,,PELI1,IMPACT,KCNJ10,TRAV13-2
ACTN1,VRK2,PLEKHA1,,VARS2,ANKRD30BL,ZC3H6,TRAV12-2
C11orf87,KRT13,PLEKHA2,,THOC2,PARL,KCNN3,TRAV5
COX7B,PAH,TMEM35,,SEPN1,TMEM55A,KEL,GRK5
KCNA4,TCEAL5,RGS1,,ZNF248,SVOP,KIF2A,TRAC
LOC646214,C1orf110,RGS4,,PSPH,SLC30A10,KIF5A,GPX3
NKIRAS1,MAGEH1,RGS7,,PTBP1,ENOSF1,KIF5B,GRIA1
FBXO2,PLEKHG4,RGS10,,CLK4,BMP2K,KIF5C,IGKV4-1
PA2G4,CENPQ,RIT2,,ABHD6,VEZT,KIR3DL2,GRIA2
DOC2A,CDKN1C,RNASE6,,HHATL,PRKAA1,KPNA5,GRIA3
PPP2R5E,LCNL1,RNF6,,USP31,LRRC40,THEMIS,GRIA4
PLA2G5,SCTR,AASDHPPT,,MICAL3,CDC37L1,TMEM189,TRIB2
BAIAP2,FCGR2B,CELF5,,SEMA6A,SCYL2,KRT33B,TMEM176B
TLL1,FAM69C,ROBO2,,ZNF471,PKIB,YPEL2,SLC6A16
XK,ENSA,RORA,,PREX1,FAR2,RGS9BP,GRIK1
MRGPRF,C12orf39,RPS4Y1,,ARHGAP21,AGK,ZNF470,TMEM14A
KIF17,NFKBIA,RPS6KA3,,CRAMP1L,RCOR3,LYSMD1,GRIK2
CHGA,FLJ33360,RYR2,,PTMS,PRKAR2B,C5orf39,ABR
IKZF4,MAGI2,RYR3,,LRRN1,CACNA2D3,ARHGEF37,ANPEP
TRH,EIF1AX,SCN1A,,POGK,SCN3B,KTN1,GRIN2A
VASH2,LMO2,SCN2A,,CALCOCO1,DOK5,USP27X,GRIN2B
NKD2,IL1B,SCN4B,,ZFP14,PRKCI,ACAT2,CCDC113
PPFIA4,GPC6,SDCBP,,GPAM,C9orf46,LAMB3,STXBP6
LRMP,ADARB2,NAPB,,NCKAP5L,FAM45B,LAMP2,LINC00339
CAMK1,EIF4EBP3,ANO3,,PTPN3,BEX1,ARHGAP5,LGALSL
NRG3,TMC6,RBM26,,PTPN4,ACTR10,LDLR,DNAJC15
ZBTB46,HIST1H2BE,TMEM91,,LSM2,LMO3,LIFR,SCG3
STOX2,NOTCH1,NECAB1,,CCNB1IP1,CMAS,LIPA,PYCARD
JAKMIP3,CCNJ,ATL2,,ZNF410,SLC25A40,LIPE,GRM1
MAPK13,HERPUD1,PAPD5,,PTPRK,BCAP29,LLGL1,TAGLN3
CNR1,LIPT1,GREM2,,PVALB,KLHL7,FAM102A,GRM5
HOMER2,RBBP9,ZFP106,,CXCL16,MAPK9,SHC4,CXCL1
PKIB,KIAA1755,WIPF3,,PWP2,PCDHAC2,SNX19,CXCL2
KCTD4,SUMF2,SCG5,,PEX5,TMX4,C12orf76,GSTA4
VRK3,TOB2,SH3GL2,,PLEKHB1,GPCPD1,DICER1-AS,GSTM3
OR8G1,HIST1H2AE,FLJ43390,,MID1IP1,CCBL2,C16orf88,GSTP1
CPEB4,IL13RA1,SYNDIG1L,,RRAGD,PRPS1,MED11,USP25
WBSCR17,HSPA5,SMURF2,,QDPR,EIF5A2,LOC400657,TMOD3
RUNDC3B,TOB1,P2RY12,,RGL2,NRIP3,ZNF880,OLA1
CPNE9,MS4A7,METTL4,,BCAT2,PSMA3,LOC400940,GUCY1B3
ITIH4,SRSF3,RFX7,,MAP4K2,TCEAL7,SNX30,GRHL1
PPIL6,FLVCR2,BCL11B,,RAF1,CELF4,LPL,SNX10
SLC38A10,REEP4,SIX3,,RALGDS,PSMA5,C7orf61,PNMA3
MGAT5B,WNT4,MRPS6,,RAP1A,FSTL5,IGLON5,PDZRN4
PDZD4,APLP1,REEP1,,RELA,PNO1,LRCH4,DMGDH
DLGAP2,ARHGAP18,ANKRD33B,,DPF2,SEMA3G,LRP2,LRP12
PFKP,ANP32C,ZNF643,,RFNG,PAK6,LRP4,PACSIN1
MGC16703,SDHC,SPATS2,,RGS1,LXN,LSS,LMCD1
RNF165,10-Sep,SLC5A3,,BCL6,ENY2,EPCAM,EFEMP2
PCSK1,HES4,PCP4L1,,BRD2,NIT2,MAD2L1,NXPH1
ABCA7,SEC11C,BMPR2,,HAPLN2,PSMC2,SMAD7,HIST1H1C
SLC6A17,TNFSF10,MTMR9,,ROM1,PSMD1,MAG,HIST1H1D
KLHL1,C7orf63,SNAP25,,RORA,CAMK1G,ARSA,HIST1H1E
PAFAH1B3,NTSR2,SNX2,,RPL28,PSMD12,MAL,HIST1H1B
GMEB1,NPEPL1,SOX2,,RPLP2,ANKRD50,MAN2A2,ANXA1
OVCH1,CLASP2,SPP1,,RPS4Y1,SPRYD7,MAN2A1,ANXA2
SESN1,C3orf15,SPR,,RPS6,SNX14,MANBA,H3F3B
SLC12A1,ELTD1,ELOVL4,,RTKN,C3orf14,C10orf62,ANXA2P1
MBOAT7,MAP4K5,SYT1,,SORT1,PTGS2,MATN2,ANXA2P2
UBE2E2,ATP5S,SYT4,,S100A4,SLC12A5,BLID,HBB
MTHFD2,FBXO7,TAC1,,S100A6,KIAA1211,MBP,HBD
CPLX2,DNAJA4,TACC1,,S100A8,RNF150,MC1R,SERPIND1
ZSCAN1,ENDOD1,KLF5,,SALL1,KIAA1239,CHST6,HCLS1
VIP,TTF2,TBL1X,,SBF1,SERINC1,MCM7,HEXB
SH2D1B,PLN,TFDP2,,SCN1B,RGAG1,MEIS1,CFH
NLRP8,CHD1L,TGFBR3,,PIEZO2,KIAA1324,METTL1,KCNIP2
PRDM14,DIP2B,THRB,,C5orf54,WDR35,MAP3K11,KCNIP1
PTPRO,KIF6,THY1,,RBM26,NCEH1,FOXO4,ANXA6
PKD2L2,ZNF44,TLE4,,LHPP,PCDH10,MOBP,HLA-A
PDPN,SLC16A11,NR2E1,,PARVG,KIAA1407,MOG,HLA-B
ZNF579,EAF1,TSPAN7,,IFIH1,SYT13,KLK14,HLA-C
TM4SF18,CCDC37,C1QB,,SEPP1,KLHL1,MTHFD2L,HLA-DMA
CTAGE5,ITGA5,C1QC,,POPDC3,DPP10,OR2J3,ANXA11
GPR124,HIPK2,TOP1,,PAPD5,ZBTB26,ASPA,HLA-DPA1
EPB41L1,FTH1,TPBG,,ZNF323,VAT1L,MST1,HLA-DPB1
GRIN3A,CYP1B1,TPD52L1,,SRSF7,MAGEE1,MT1F,HLA-DRA
ANO3,IGFBP2,HSP90B1,,ARHGAP9,CPNE5,MT1G,HLA-DRB6
SCGN,INPP5A,C3AR1,,DCLRE1C,PTPRG,MT1M,HLF
CD27,SLC44A2,TSPYL1,,TTC31,PTPRN,MT1X,HLA-E
ZNF257,RPL7,DNAJC7,,SGK1,PTPRN2,MTIF2,HLA-F
NHLH1,PCK1,TTC3,,FBXW4,PTPRO,MYBL1,HLA-J
SLC8A2,ORM2,MORN2,,PDIA2,PTS,MYL5,MR1
CD226,APCDD1L,UGP2,,SHOX2,PTX3,MYO1E,AOX1
HCFC1R1,CNGA1,UQCRB,,WDR13,PTBP2,MYO5B,NR4A1
SLC7A6,CMPK1,VHL,,METTL17,ABCD3,MYO9B,HNMT
MCF2L2,MSTO1,EZR,,FAM113A,PYGL,NAP1L1,HPCA
PDE1B,C9orf72,XPO1,,SIAH2,OSTC,NAP1L4,HPCAL1
MAP1A,ACAD8,YWHAB,,MICAL1,BCAT1,NASP,HPRT1
MYO15A,KIF25,YWHAH,,CRTC3,RAB1A,NDP,HRH2
ST8SIA1,ANXA4,ZNF32,,PCDH20,RAB2A,NEB,APEX1
PIRT,DCLK1,ZNF37A,,SIPA1,RAB3A,ATM,HSD17B2
FLJ41649,FGB,ZNF91,,MRPS6,RAB3B,NDUFS2,ACADL
VSTM2L,PLCL1,ZNF124,,MRPS5,RAB27B,NEFH,HSPA5
RPS6KL1,USP54,ZNF138,,MRPL34,RAD23B,NEK1,HSPG2
CLCA3P,PTGER4,CA11,,SLC4A2,ACTA2,NEO1,APLP2
CALB1,STAMBP,CA12,,SMTN,RAP1GAP,NFATC2,HTR1A
PRDM8,NUP210L,ZNF189,,SLC5A3,RARS,NFATC3,HTR1E
MAP4,LASS2,ZNF195,,SLC6A8,ARID4A,NFIB,HTR2A
MYO5B,11-Sep,ZNF204P,,SLC6A12,NTN4,NFKB1,HTR5A
FAM179A,RP5-1022P6.2,ZFAND5,,BMP7,RBM3,NFKBIB,TNC
CAMK2B,LRRTM1,CACNA1E,,DDRGK1,TMEM35,NFYA,CHSY3
LCN15,CREB3L2,LUZP1,,SMARCD2,RBMS1,NFYB,ICA1
FAM125A,IRAK4,CACNB2,,SNRNP70,RBP4,NGFR,LUZP2
ZNF430,GPR15,CACNB4,,SNRPA,RCN2,NINJ2,LOC338651
EMX2,UQCRC2,CXCR4,,SNTA1,RET,NKX2-2,FAM19A2
CAMK2N2,GLTP,SCG2,,SOLH,RGS2,NPC1,ID1
TRIM48,ZC3HAV1L,SLMAP,,BOK,RGS4,IGIP,ID2
ZNF804A,HMGN2,KCNAB1,,SOX10,RGS7,EID3,ID3
PTPRN,RDH5,CAMKV,,SOX12,RIT2,CHAC2,TMEM173
FURIN,ACAD11,SECISBP2,,SPOCK1,C12orf10,OLR1,RSPO2
A2BP1,HSDL2,ALG8,,SPP1,HPSE2,P2RX7,KIAA2022
TP53I3,TAS2R50,C2orf49,,SPR,GUF1,PCSK6,BEX5
ZNF880,KIAA0494,TAF1D,,SSRP1,SPCS3,SPOCK3,VSIG1
OR10A3,PAQR4,ALDH5A1,,SNORA61,ABCE1,RNF141,IDH2
UBQLNL,CTSL1,GNPTAB,,STX4,SCOC,PCCA,SLC35F4
CYP21A2,ITPRIP,C7orf23,,BST2,CELF5,ASCC1,IDH3G
FILIP1L,DNAI1,CALB1,,CNTN2,SMAP1,PCDH9,IDS
NOG,MOBP,BHLHE41,,TAZ,ROBO2,EXOSC1,CFI
ARL11,ZNF397,HAUS3,,SNORD104,RPE65,ISOC1,KCNT2
C8orf78,C6orf48,METTL21D,,TCF7L2,CTXN3,HDDC2,IFNGR1
ADAMTS19,CCDC71,ACSS3,,TCF12,RPS27A,MRPS18C,ZNF391
AWAT1,ARPC3,NAA16,,DYNLT1,RTN1,FIS1,APOD
METTL5,MTNR1B,C6orf211,,TF,BDNF,SERPINA5,LRRTM1
PTPN4,KRT6C,PANK3,,NR2F1,SC5DL,RPS27L,TUBB2B
KRTAP12-1,CD163,RPAP3,,TGFB3,SCN2A,TMX2,AMIGO2
RTF1,CD97,ZNF329,,THBS2,SCN3A,CUTC,RBPMS2
MAP1S,HSPB8,FASTKD1,,TSPO,SCN7A,KLHL5,ANKDD1A
CD59,DHRS4L2,ZMAT4,,THRB,SCN8A,SEPSECS,IGFBP2
SLC29A4,SYNJ2,TBL1XR1,,TIAM1,CCL2,UTP18,IGFBP3
OR8K5,PPAP2C,TEFM,,TIE1,CX3CL1,FAM108B1,IGFBP4
C7orf54,C22orf9,TTLL7,,TIMP1,SDC1,LACTB2,IGFBP5
HS3ST3A1,IL6,MCTP1,,TLE2,SRR,ZNF706,IGFBP6
PARVG,TAS2R14,IQCA1,,TLN1,SDC2,GOLGA7,HCN1
PRKCG,C10orf11,C11orf63,,TLR5,CXCL12,SAR1B,IGFBP7
SEMA6C,C10orf33,TUSC3,,NR2E1,NAPB,TUBD1,CYR61
TYW3,TAS2R42,CEP76,,TSPAN8,ANO3,WBP5,IL1R1
SYT3,PICALM,DNAJB14,,C1QA,SELE,CKLF,IL1RAP
RYBP,LRP2BP,NAA25,,C1QB,SELL,C9orf53,IL4R
CAMK2N1,ADSS,CSRNP3,,TNFRSF1A,RBKS,PCP4,IL8
GUCA1A,PADI4,LRRTM4,,C1QC,PBLD,GLTP,IL12RB2
RERE,SEMA6A,CALM1,,TNS1,CLSTN2,02-Mar,IL18
SOD2,SNRNP35,NAA15,,TOP1,SNX16,CDKL3,INPP4A
BCHE,GRIN3B,C4orf29,,TPD52L2,SMOC2,ZNF571,INSIG1
PLXNA1,PLIN2,CEP290,,C3,MOAP1,BFAR,AQP9
GPR180,C11orf9,FBXO11,,TRAF2,LIN7B,TLR7,IRF6
BMP4,ATP4B,ARMC9,,TRAF6,KIF9,CDK18,ISG20
RHBDL1,FOLR2,CCDC6,,CCT3,NECAB1,FAM13B,ISLR
TFDP3,ABHD12,CPEB4,,TRO,FAM110C,KRCC1,ITGA3
GABRA5,MET,GKAP1,,FLJ37453,SFRP2,PHF21A,ITGA4
IL27RA,LEPROT,TSEN2,,TYK2,LMBR1,PDE1C,ITGA5
RGS18,LAP3,BHLHB9,,TYRO3,AZI2,NOL7,ITGA9
LOC652251,VCP,CAMK4,,UBTF,UG0898H09,BIN2,ITGB2
JMY,DDX60,FAM49A,,UCN,TMEM168,PDE4B,ITGB3
RNF133,P2RY13,CAMK2B,,UGT8,SUSD1,RNF138,ITGB4
PYGM,OR4S2,CAB39L,,UNG,SUDS3,NOP16,ITIH2
LOC441426,DRD4,NETO2,,NR1H2,ACTR6,PDE8A,ITIH3
DENND5B,USPL1,NETO1,,UTY,MRPS25,PDE9A,ITIH4
IL6ST,PSG5,ZNF611,,VEGFB,MFSD1,PDGFA,ITPKA
C19orf55,TSNAX,ARPC5L,,BEST1,SMYD3,PEX5L,ITPR1
LOC100302650,MPO,FAHD1,,CLIP2,MEAF6,LARP7,ITPR3
C6orf106,APOLD1,SYN3,,LAT2,C11orf1,ESF1,JAK2
USP43,RTDR1,KDM5D,,XPO1,P2RY12,PDE6B,JUN
HIST1H2BI,MYO1E,USP9Y,,ZFY,SPATA20,PCF11,JUNB
CLDN20,SLC13A4,CAPZA2,,ZIC1,AGXT2L1,LIPT1,KAL1
CEP97,AGPAT4-IT1,SNN,,ZIC2,ARMCX5,OTUD6B,KCNA4
ASAP1,PHYH,THAP2,,ZIC3,C12orf43,MRPL48,KCNA5
DDIT4L,YSK4,TMEM47,,ZNF32,NDRG4,FAM96B,KCNB1
04-Mar,C3orf57,HIST1H4C,,ZNF37A,REEP1,BRP44L,KCNC2
MEIS3,SRD5A3,HSDL1,,CA2,RAPH1,ENPP2,ANKRD30B
