Ctx_PD_up,Ctx_PD_dn,Str_PD_up,Str_PD_dn,SN_PD_up,SN_PD_dn,Ctx_DLB_up,Ctx_DLB_dn
NXPH2,EFEMP1,SLC38A11,FNBP1,AHSA2,CXorf41,IP6K3,VSIG4
AJAP1,CT45A5,WDSUB1,ATP10B,COMT,CRHBP,DEFB118,SCRG1
GABRE,CCDC146,GPR155,GLT25D2,TPRA1,APOOL,CLC,TWF2
REP15,NEFM,PPP4R2,PLXND1,SLC31A2,FUNDC1,CLCN4,CHRNA2
FAM62C,HSPA1B,ZNF827,NACAD,PPM1M,UPRT,UBE2J2,DTX2
ITGA8,TTR,JAKMIP1,RFTN1,AASDH,SPIN4,ZNF511,SLC2A13
IL12RB2,WDR49,PPM1K,PHLDB1,ADM,ASB5,CLCN7,CHRNB3
UHMK1,JUNB,RASGEF1B,DTX4,ENPP6,CHODL,C10orf90,MAL2
MAPKBP1,PDE6B,ARSK,ARC,ANKRD43,SLC32A1,PDZD8,SLC22A9
ACTG2,FGL2,RNF145,AGTPBP1,SHROOM1,CBLN4,ANAPC16,XKR4
OMP,CCNE2,SNRNP48,KIF13B,ADORA2A,MACROD2,SLC36A4,CSMD3
PRKCE,ARRDC4,CLVS1,ICOSLG,CP,DYNLL2,ANO4,SLC25A25
PTPRT,EDN1,ZNF483,SATB2,NACC2,NRSN1,SLAIN1,ELFN2
FLJ33534,TSPAN8,LOC158696,TENC1,ZNF358,CRYM,MRPL52,TMEM200A
DBH,MOG,DACH1,COTL1,CRY1,GLT1D1,KLHDC1,SORCS1
SOSTDC1,RNASE1,TMTC3,ZFPM2,SIRPA,RDH12,SOCS4,OSBPL6
ERC2,CP,DENND5B,FOLH1,STK35,FAM161B,LEO1,OSBPL10
ASPHD2,HIST2H2BF,DGKB,NPTXR,CRYAB,LRFN5,TARSL2,C1QTNF1
BRD4,PPP1R14A,DGKH,DAAM2,MIB2,FBXL16,NIPA1,FBXO32
EMX1,ITGA2,DAPK1,FOS,CRYGS,SLC47A2,C16orf46,KCTD12
MYH7,TARSL2,REM2,TSPAN15,LAYN,WDR16,NTAN1,CIRBP
SLC25A22,FKBP2,DARS,NTSR2,PRIMA1,CBLN2,C16orf78,FAM46B
AHDC1,CHRNB3,DBC1,BACE1,CSPG4,ANKRD29,PAQR4,RAB3C
GRM1,HBD,DBT,KCNE1L,MGAT5B,SYT6,TMEM170A,LRRC3B
SCIN,THNSL2,ZNF567,CA14,RTN4RL1,CTH,KRBA2,FAM122A
FGR,CTGF,ZNF383,PPP1R15A,KCTD11,CNIH3,ANKRD13B,C8orf34
LELP1,CXCL12,CNST,TMEFF2,CST3,MANEAL,ZFP3,SLC26A8
BAG4,C5orf4,AKR1C1,FJX1,LINC00085,EXOC8,AFMID,FAM129A
SMC1A,SERPINE1,AKR1C2,FRZB,LOC147727,ADRA2A,FAM69C,C6orf192
LRRC7,S100B,LONRF2,FUCA1,ZNF420,MORC2-AS1,ZNF440,MED12L
DDN,ERMN,FAM171B,EML3,ZNF558,C22orf42,CNGA4,WDR17
ADORA2A,CNP,UBXN2A,TMEM151A,SLC35F3,PKI55,ZNF792,DACH2
