"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"11269","DGCR5",7288,-0.813442,0.415964687290027,0.62215176180843,"FALSE"
"11270","POLR2J",2812,-0.814333,0.415454209754225,0.621621831472039,"FALSE"
"11271","RAB3D",5096,-0.814394,0.415419274776429,0.621621831472039,"FALSE"
"11272","FKBP4",1256,-0.814408,0.415411257157529,0.621621831472039,"FALSE"
"11273","MARCKSL1",10223,-0.815293,0.414904614664594,0.621107464804605,"FALSE"
"11274","C21orf58",8323,-0.815329,0.414884013212312,0.621107464804605,"FALSE"
"11275","PCP4",2613,-0.81558,0.414740392114743,0.621107464804605,"FALSE"
"11276","KIF5C",1969,-0.815784,0.414623685866602,0.621087425931848,"FALSE"
"11277","PPP1R14A",12033,-0.815939,0.414535024985226,0.621072791739688,"FALSE"
"11278","GGACT",11669,-0.816144,0.414417781040596,0.621015319547367,"FALSE"
"11279","TMCO6",8935,-0.816301,0.414328002599679,0.620939882060912,"FALSE"
"11280","GLA",1408,-0.816385,0.414279972999114,0.620927003795436,"FALSE"
"11281","HIF3A",10051,-0.816719,0.414089030743744,0.620699903756688,"FALSE"
"11282","MYO5A",2331,-0.817779,0.413483391285929,0.620087246004091,"FALSE"
"11283","SSBP4",13387,-0.81814,0.413277250836036,0.619943293028586,"FALSE"
"11284","CAMLG",459,-0.818409,0.413123684374532,0.619943293028586,"FALSE"
"11285","VPS13A",6681,-0.818929,0.412826923110892,0.619752088518401,"FALSE"
"11286","KAT7",6233,-0.819055,0.412755034589434,0.619703253514888,"FALSE"
"11287","LOC101929229",15677,-0.819156,0.41269741502018,0.619703253514888,"FALSE"
"11288","UCK1",11043,-0.819647,0.412417371964188,0.619373475922943,"FALSE"
"11289","BORCS7",12319,-0.819655,0.412412810077396,0.619373475922943,"FALSE"
"11290","EFNB1",1048,-0.820225,0.412087852643232,0.619055742760013,"FALSE"
"11291","RAB35",6155,-0.820309,0.412039977019754,0.619049735360267,"FALSE"
"11292","KLHL8",9666,-0.820597,0.411875857069617,0.618914427329749,"FALSE"
"11293","FAM212B",9231,-0.820669,0.411834833141628,0.618911849557596,"FALSE"
"11294","PAQR4",12411,-0.821066,0.41160867529325,0.618690080428852,"FALSE"
"11295","CCDC113",7606,-0.821132,0.411571084408076,0.618690080428852,"FALSE"
"11296","THBS3",3805,-0.821537,0.411340457674462,0.618464047563446,"FALSE"
"11297","MAPKAP1",10348,-0.822453,0.410819125655804,0.617852099824859,"FALSE"
"11298","METTL26",11310,-0.822819,0.410610930271854,0.617603085320056,"FALSE"
"11299","RAB39B",12251,-0.823186,0.410402228994186,0.617407136968609,"FALSE"
"11300","RPL34",3258,-0.823267,0.410356175351299,0.617407136968609,"FALSE"
"11301","HUWE1",5489,-0.823434,0.410261234940839,0.617371991220827,"FALSE"
"11302","NRG2",5094,-0.824168,0.409844106734018,0.616862198692966,"FALSE"
"11303","FBXO24",7307,-0.824506,0.40965210799651,0.61663216447467,"FALSE"
"11304","GLIPR2",13103,-0.824708,0.409537388728979,0.616518422940795,"FALSE"
"11305","CACNB3",439,-0.825101,0.409314252039696,0.616359305505452,"FALSE"
"11306","BEST2",8526,-0.825195,0.409260891643926,0.616337899467586,"FALSE"
"11307","LOC100130691",15387,-0.825247,0.409231374905211,0.616337899467586,"FALSE"
"11308","FAM168B",12599,-0.825513,0.409080405246189,0.616183964469649,"FALSE"
"11309","TMEM121",10866,-0.827127,0.408165082171034,0.615158343905707,"FALSE"
"11310","SPRR2G",3597,-0.827129,0.408163948699062,0.615158343905707,"FALSE"
"11311","NDUFAF5",10350,-0.828093,0.407617833497093,0.614745477817215,"FALSE"
"11312","ADARB1",59,-0.828352,0.407471181787437,0.614642053769227,"FALSE"
"11313","ACTG1P4",15166,-0.829553,0.406791559402942,0.61391096547487,"FALSE"
"11314","INTS1",7280,-0.829594,0.406768370250131,0.61391096547487,"FALSE"
"11315","GNL2",7683,-0.830054,0.406508253336279,0.613601040051742,"FALSE"
"11316","MARCKS",2104,-0.830871,0.406046507892551,0.613080386149618,"FALSE"
"11317","LINC-PINT",14523,-0.831465,0.405710992498234,0.612808861942123,"FALSE"
"11318","POMK",11219,-0.831522,0.40567880528739,0.612808861942123,"FALSE"
"11319","IFI35",1793,-0.831765,0.405541603240475,0.612729348720974,"FALSE"
"11320","WDR92",12230,-0.831775,0.405535957659708,0.612729348720974,"FALSE"
"11321","PRKCZ",2918,-0.831955,0.405434345235953,0.612684880097906,"FALSE"
"11322","TPM3",3884,-0.832315,0.405231166036,0.612456235817247,"FALSE"
"11323","MMADHC",7495,-0.832553,0.405096875432025,0.612410014755375,"FALSE"
"11324","SIGLEC6",531,-0.832602,0.405069230669249,0.612410014755375,"FALSE"
"11325","LINC02550",15710,-0.833036,0.404824426290954,0.612115681547207,"FALSE"
"11326","NBPF11",13479,-0.833496,0.404565052813537,0.611986866882706,"FALSE"
"11327","DACT3",12953,-0.834195,0.404171108239468,0.611597702953429,"FALSE"
"11328","RECQL4",4991,-0.83455,0.403971124171972,0.61135383987771,"FALSE"
"11329","ZNF805",14706,-0.834759,0.403853414777099,0.611234453106356,"FALSE"
"11330","SLC41A3",8614,-0.834785,0.403838772939212,0.611234453106356,"FALSE"
"11331","LOC100128398",15345,-0.835256,0.403573585439769,0.611104645388455,"FALSE"
"11332","MRPS24",10190,-0.836287,0.402993464778883,0.610402318705485,"FALSE"
"11333","GDNF",1380,-0.836795,0.402707808384766,0.610104058510446,"FALSE"
"11334","PCGF2",4147,-0.836952,0.402619549371415,0.610070715508894,"FALSE"
"11335","CHAF1A",5459,-0.837539,0.402289664589014,0.609699275297769,"FALSE"
"11336","HDHD5-AS1",15389,-0.838076,0.401988021035246,0.609407027845171,"FALSE"
"11337","PRKAR1B",2903,-0.838417,0.4017965450254,0.609175406973993,"FALSE"
"11338","SEMA3D",13742,-0.838733,0.401619155709078,0.60902375100062,"FALSE"
"11339","DBN1",881,-0.839578,0.401145038631967,0.608421985671931,"FALSE"
"11340","TADA3",5778,-0.839804,0.401018290341079,0.608346948783148,"FALSE"
"11341","TPT1-AS1",15447,-0.840398,0.400685270151572,0.607998972551158,"FALSE"
"11342","ZNF789",14165,-0.840403,0.400682467656663,0.607998972551158,"FALSE"
"11343","CAPZA2",468,-0.840714,0.400508175620271,0.607865936489413,"FALSE"
"11344","ARPP21",5987,-0.840825,0.400445979528006,0.607830130884841,"FALSE"
"11345","SKP1P2",15249,-0.841941,0.399820979247344,0.607245533294212,"FALSE"
"11346","PTRH1",12739,-0.842057,0.399756048733501,0.607245533294212,"FALSE"
"11347","DDX27",9046,-0.842066,0.399751011286331,0.607245533294212,"FALSE"
"11348","RRAGD",9856,-0.842484,0.399517091914782,0.607181140173575,"FALSE"
"11349","KIAA1614",9775,-0.842811,0.399334154991422,0.607020300283833,"FALSE"
"11350","CAMK1",4478,-0.842911,0.399278221043087,0.606993877601951,"FALSE"
"11351","ERF",1141,-0.843613,0.398885697450026,0.606543172576962,"FALSE"
"11352","ADH1C",75,-0.84413,0.398596765277218,0.606250586291518,"FALSE"
"11353","CLSTN3",5243,-0.844697,0.398280034899733,0.605885908163893,"FALSE"
"11354","ARG2",218,-0.844965,0.398130380906504,0.605775304152774,"FALSE"
"11355","CRIM1",7991,-0.845281,0.39795396674567,0.605741029235361,"FALSE"
"11356","FLRT1",7011,-0.845393,0.397891451516316,0.605704428514396,"FALSE"
"11357","PHF21A",8048,-0.84546,0.397854056842489,0.605704428514396,"FALSE"
"11358","SLC25A36",8794,-0.84553,0.397814990042864,0.605704428514396,"FALSE"
"11359","CANT1",12427,-0.84586,0.397630849132078,0.605659061583106,"FALSE"
"11360","MAB21L2",5862,-0.846134,0.397477995426565,0.605503507604584,"FALSE"
"11361","KIAA0895",6788,-0.846307,0.397381503853943,0.605503507604584,"FALSE"
"11362","CHP1",6314,-0.846444,0.397305101475322,0.60545575132878,"FALSE"
"11363","CNIH2",13796,-0.846757,0.397130580378429,0.605248377510247,"FALSE"
"11364","DDX21",4868,-0.847151,0.396910961424784,0.604972225327515,"FALSE"
"11365","KDM2B",11423,-0.84727,0.396844644222513,0.604929705032769,"FALSE"
"11366","RPS7",3285,-0.847369,0.396789477863472,0.604904175925675,"FALSE"
"11367","B3GALT5-AS1",12106,-0.847527,0.396701444169809,0.604828530885411,"FALSE"
"11368","NECTIN1",3065,-0.847996,0.396440198394317,0.604781602918178,"FALSE"
"11369","MBL1P",4461,-0.848047,0.396411796267002,0.604781602918178,"FALSE"
"11370","KLK6",2965,-0.849267,0.395732739032801,0.603994956966989,"FALSE"
"11371","ASF1A",7082,-0.849328,0.39569880462803,0.603994956966989,"FALSE"
"11372","FAR2",9084,-0.850185,0.395222239924607,0.603508308370957,"FALSE"
"11373","NDUFB3",2380,-0.850252,0.395184996868365,0.603508308370957,"FALSE"
"11374","POLE3",8332,-0.850944,0.394800461365954,0.603039703551313,"FALSE"
"11375","SGSM2",5371,-0.851192,0.394662706052218,0.602887775957327,"FALSE"
